R1/R2
Excitations | Coefficients
4^ 0	| (-5.788821309297084e-07+0j)
6^ 0	| (0.2465107555787613+0j)
5^ 1	| (1.1578792339628447e-06+0j)
7^ 1	| (0.2465124607923972+0j)
4^ 2	| (-0.2711931827666842+0j)
6^ 2	| (2.0340671815698867e-06+0j)
5^ 3	| (-0.2711949173909535+0j)
7^ 3	| (-2.462990696298208e-06+0j)
4^ 0; 5^ 1	| (9.724908737873212e-06+0j)
4^ 0; 7^ 1	| (-0.2972114340818613+0j)
6^ 0; 5^ 1	| (-0.2972072894355747+0j)
6^ 0; 7^ 1	| (-1.3187666392982223e-05+0j)
4^ 0; 6^ 2	| (-0.00015504564469061974+0j)
4^ 0; 5^ 3	| (-0.30805037025852544+0j)
4^ 0; 7^ 3	| (-0.0001425261967974358+0j)
6^ 0; 5^ 3	| (-0.00014549627179341935+0j)
6^ 0; 7^ 3	| (0.29049468310433174+0j)
5^ 1; 4^ 2	| (-0.30805500086022375+0j)
5^ 1; 6^ 2	| (-0.00014236969559403877+0j)
7^ 1; 4^ 2	| (-0.00014563324035288033+0j)
7^ 1; 6^ 2	| (0.2904905471260241+0j)
5^ 1; 7^ 3	| (-0.0001595644679168857+0j)
4^ 2; 5^ 3	| (-1.6319786552513894e-05+0j)
4^ 2; 7^ 3	| (0.3131588725824398+0j)
6^ 2; 5^ 3	| (0.31316349292495305+0j)
6^ 2; 7^ 3	| (1.3377487386317683e-05+0j)
